gta06_hhld,age,population,income
5113,66,23,2
5113,74,23,2
5113,75,23,2
5113,79,23,2
5114,7,21,2
5114,9,21,2
5114,43,21,2
5114,78,58,2
5114,80,27,2
5114,82,27,2
5115,58,24,2
5115,60,24,2
5115,78,35,2
5115,84,19,2
5115,89,35,2
5116,32,45,2
5116,58,25,2
5116,81,13,2
5116,85,13,2
5116,87,13,2
5116,90,45,2
5117,66,22,2
5118,17,57,2
5118,19,57,2
5118,25,57,2
5118,47,106,2
5118,50,57,2
5118,51,18,2
5118,55,51,2
5118,58,33,2
5118,63,78,2
5118,65,47,2
5118,66,33,2
5118,67,28,2
5118,68,19,2
5118,74,18,2
5118,78,23,2
5118,79,18,2
5118,80,23,2
5119,57,66,2
5120,27,28,2
5120,30,27,2
5120,62,27,2
5120,66,20,2
5120,71,40,2
5120,75,18,2
5120,79,41,2
5120,82,41,2
5120,87,19,2
5121,11,110,2
5121,14,110,2
5121,16,45,2
5121,17,110,2
5121,18,110,2
5121,19,45,2
5121,21,45,2
5121,47,45,2
5121,48,110,2
5121,58,110,2
5121,66,19,2
5121,67,19,2
5121,75,21,2
5121,78,29,2
5122,12,84,2
5122,14,84,2
5122,15,84,2
5122,36,43,2
5122,50,84,2
5122,53,84,2
5122,57,41,2
5122,60,125,2
5122,62,31,2
5122,65,22,2
5122,70,74,2
5122,88,37,2
5122,92,84,2
5122,97,31,2
5123,16,20,2
5123,19,9,2
5123,23,96,2
5123,24,24,2
5123,28,96,2
5123,31,68,2
5123,32,144,2
5123,34,20,2
5123,36,42,2
5123,41,54,2
5123,43,56,2
5123,50,9,2
5123,51,42,2
5123,52,42,2
5123,54,24,2
5123,60,34,2
5123,61,84,2
5123,62,96,2
5123,64,96,2
5123,65,83,2
5123,68,64,2
5123,69,103,2
5123,72,30,2
5123,73,23,2
5123,76,30,2
5123,79,36,2
5123,81,36,2
5125,14,33,2
5125,36,46,2
5125,49,33,2
5125,54,41,2
5125,60,26,2
5125,81,44,2
5125,83,41,2
5125,84,21,2
5127,13,20,2
5127,22,115,2
5127,23,127,2
5127,25,26,2
5127,30,46,2
5127,38,20,2
5127,50,25,2
5127,51,161,2
5127,52,46,2
5127,53,62,2
5127,54,24,2
5127,56,46,2
5127,58,44,2
5127,59,22,2
5127,62,25,2
5127,66,46,2
5127,68,26,2
5127,70,20,2
5127,71,21,2
5127,72,22,2
5127,75,19,2
5127,77,88,2
5127,86,19,2
5129,56,18,2
5129,57,22,2
5129,70,31,2
5129,79,19,2
5129,82,19,2
5129,85,35,2
5130,1,49,2
5130,5,49,2
5130,17,138,2
5130,20,92,2
5130,24,92,2
5130,27,64,2
5130,30,121,2
5130,37,49,2
5130,42,49,2
5130,50,73,2
5130,58,31,2
5130,59,64,2
5130,63,35,2
5130,66,63,2
5130,69,24,2
5130,71,24,2
5130,79,28,2
5130,85,25,2
5130,88,25,2
5130,89,28,2
5131,15,34,2
5131,16,45,2
5131,19,11,2
5131,40,11,2
5131,49,34,2
5131,54,34,2
5131,56,29,2
5131,68,75,2
5131,70,31,2
5131,74,15,2
5131,77,27,2
5131,78,27,2
5131,82,27,2
5131,84,26,2
5131,85,26,2
5131,89,27,2
5132,16,18,2
5132,19,37,2
5132,23,18,2
5132,47,18,2
5132,48,18,2
5132,53,46,2
5132,56,37,2
5132,58,8,2
5132,63,25,2
5132,64,21,2
5132,76,46,2
5132,94,21,2
5132,98,21,2
5133,12,73,2
5133,21,73,2
5133,23,73,2
5133,54,73,2
5133,56,73,2
5133,62,26,2
5133,70,21,2
5133,72,111,2
5133,83,11,2
5133,85,8,2
5135,48,40,2
5135,54,78,2
5135,58,21,2
5135,59,66,2
5135,60,21,2
5135,61,21,2
5135,62,21,2
5135,65,24,2
5135,67,24,2
5135,68,40,2
5135,69,16,2
5135,84,22,2
5135,95,14,2
5137,84,13,2
5138,84,8,2
5139,4,10,2
5139,15,59,2
5139,16,64,2
5139,17,59,2
5139,19,59,2
5139,20,64,2
5139,31,15,2
5139,36,22,2
5139,38,10,2
5139,44,22,2
5139,47,10,2
5139,52,59,2
5139,55,59,2
5139,56,25,2
5139,57,64,2
5139,60,39,2
